Folder,Source,Especie,Foto_num,Alt_cabeza,Alt_ojo,Radio_AC_AO,Total_length
20200119_T_Pesca_Rawson,2,Bagre,"63,64,65",60.1,11.35,5.295154185,525
20200119_T_Pesca_Rawson,2,Bagre,"86,87",55.4,12,4.616666667,500
20200119_T_Pesca_Rawson,2,Bagre,"99,100,101",38.6,7.8,4.948717949,398
20200119_T_Pesca_Rawson,2,Bagre,118,42.2,9,4.688888889,420
20200119_T_Pesca_Rawson,2,Bagre,136,46.6,9.3,5.010752688,484
20200119_T_Pesca_Rawson,2,Bagre,"145,146",26.5,7.25,3.655172414,245
20200119_T_Pesca_Rawson,2,Bagre,"57,58",58.6,11.1,5.279279279,500
20200119_T_Pesca_Rawson,2,Bagre,"59,60",58.1,10.6,5.481132075,510
20210124_torneo_pesca_Punion,2,Bagre,66-67,59.7,17.39,3.433007476,333
20210124_torneo_pesca_Punion,2,Bagre,111-112-113,44.52,12,3.71,300
20210124_torneo_pesca_Punion,2,Bagre,114-115,40.455,10.85,3.728571429,335
20210124_torneo_pesca_Punion,2,Bagre,121-122,49.08,14.56,3.370879121,334
20210124_torneo_pesca_Punion,2,Bagre,197-198,32.72,9.27,3.529665588,300
20210124_torneo_pesca_Punion,2,Bagre,199-200,39.705,12.588,3.154194471,257
20210124_torneo_pesca_Punion,2,Bagre,210,42.905,14.573,2.944143279,315
20210124_torneo_pesca_Punion,2,Bagre,232,37.133,9.21,4.031813246,294
20210124_torneo_pesca_Punion,2,Bagre,234-235,38.00843333,10.53416667,3.608110118,273
20210124_torneo_pesca_Punion,2,Bagre,258-259,35.118,10.727,3.273795096,308
20210124_torneo_pesca_Punion,2,Bagre,263-264,30.882,9.19,3.36039173,261
20210124_torneo_pesca_Punion,2,Bagre,283-284,39.1021,12.95166667,3.27,346
20210124_torneo_pesca_Punion,2,Bagre,288,40.967,13.95704624,2.93521991,325
20210207_torneo20hs_PUnion,2,Bagre,17_18,39.404,9.958,3.957019482,318
20210207_torneo20hs_PUnion,2,Bagre,19_20,42.232,12.015,3.514939659,330
20210207_torneo20hs_PUnion,2,Bagre,27-28,46.263,11.011,4.201525747,330
20210207_torneo20hs_PUnion,2,Bagre,45-46,36.231,10.783,3.360011129,310
20210207_torneo20hs_PUnion,2,Bagre,51-52,40.32,10.659,3.782718829,306
20210207_torneo20hs_PUnion,2,Bagre,61-62,46.616,14.917,3.125025139,295
20210207_torneo20hs_PUnion,2,Bagre,68,35.704,10.256,3.481279251,290
20210207_torneo20hs_PUnion,2,Bagre,74,76.483,19.671,3.8881094,335
20210207_torneo20hs_PUnion,2,Bagre,87-88,50.208,11.404,4.402665731,359
20210207_torneo20hs_PUnion,2,Bagre,121-122,47.701,13.923,3.426057603,326
20190401FotosLujan,1,Besugo,IMG_0699,47,14,3.36,201
20190401FotosLujan,1,Besugo,Pag_pag01,73.8,18,4.1,301
20190508SesionPescaPtoLobos ,1,Besugo,25,89.4,19.8,4.52,317.4
20190508SesionPescaPtoLobos ,1,Besugo,31-32,77.9,18.3,4.26,303.7
20190508SesionPescaPtoLobos ,1,Besugo,46,83.5,18.6,4.49,314.1
20190508SesionPescaPtoLobos ,1,Besugo,53,90.4,20.1,4.5,344
20190508SesionPescaPtoLobos ,1,Besugo,56,78,17.3,4.51,305
20190508SesionPescaPtoLobos ,1,Besugo,59,86.3,18.3,4.72,337.2
20190508SesionPescaPtoLobos ,1,Besugo,61,63.3,15.8,4.01,246.7
20190508SesionPescaPtoLobos ,1,Besugo,63,75.1,17.7,4.24,294
20190508SesionPescaPtoLobos ,1,Besugo,64,54.3,14.7,3.69,234.8
20190508SesionPescaPtoLobos ,1,Besugo,68,79,18,4.39,297.5
20190508SesionPescaPtoLobos ,1,Besugo,73,75.37,17.1,4.41,293.9
20190508SesionPescaPtoLobos ,1,Besugo,74,63.4,17,3.73,245.6
20190508SesionPescaPtoLobos ,1,Besugo,80,76.7,18.6,4.12,278.3
20190508SesionPescaPtoLobos ,1,Besugo,81,75.8,16.8,4.49,295.5
20190508SesionPescaPtoLobos ,1,Besugo,87,73,17,4.29,282
20190508SesionPescaPtoLobos ,1,Besugo,96,81.7,19.4,4.31,317.9
20190508SesionPescaPtoLobos ,1,Besugo,98,66.2,17,3.89,265.4
20190508SesionPescaPtoLobos ,1,Besugo,99,79.5,18.2,4.37,299.1
20190508SesionPescaPtoLobos ,1,Besugo,103,95.5,19.22,4.96,363
20190508SesionPescaPtoLobos ,1,Besugo,105,73.1,17,4.3,289.4
20190508SesionPescaPtoLobos ,1,Besugo,120,81.8,18,4.54,339.1
20190508SesionPescaPtoLobos ,1,Besugo,121-124,85.8,18.8,4.76,351.1
20190508SesionPescaPtoLobos ,1,Besugo,126,89.9,20.1,4.47,339.4
20190508SesionPescaPtoLobos ,1,Besugo,127,67,17.6,3.81,261
20190508SesionPescaPtoLobos ,1,Besugo,131-132,78.7,18.25,4.31,302.2
20190508SesionPescaPtoLobos ,1,Besugo,"140,142",76.5,18.6,4.11,291.3
20200119_T_Pesca_Rawson,2,Cazon,"39,40,41,42",22.8,9.2,2.48,300
20200119_T_Pesca_Rawson,2,Cazon,"88,89,90,91",20.7,8.6,2.41,230
20200119_T_Pesca_Rawson,2,Cazon,107,24.3,9,2.7,270
20200119_T_Pesca_Rawson,2,Cazon,113,23.6,7.8,3.03,280
20200119_T_Pesca_Rawson,2,Cazon,"114,115",21.8,8.2,2.66,240
20200119_T_Pesca_Rawson,2,Cazon,"124,125",21.95,7,3.14,275
20200119_T_Pesca_Rawson,2,Cazon,"27,28",24,6.9,3.47,320
20200119_T_Pesca_Rawson,2,Cazon,"29,30",19.1,7.4,2.58,281
20200119_T_Pesca_Rawson,2,Cazon,"31,32",15.62,4.96,3.15,279
20200119_T_Pesca_Rawson,2,Cazon,"45,46,47,48",21.2,7.6,2.79,300
20200119_T_Pesca_Rawson,2,Cazon,50,20.9,8.4,2.49,305
20200119_T_Pesca_Rawson,2,Cazon,"94,95,96",19.38,7.65,2.53,294
20210124_torneo_pesca_Punion,2,Cazon,133,28.712,10.737,2.67,304
20210124_torneo_pesca_Punion,2,Cazon,135,21.46743333,8.642633333,2.48,324
20210124_torneo_pesca_Punion,2,Cazon,136,25.012,9.1942,2.72,266
20210124_torneo_pesca_Punion,2,Cazon,137,23.568,9.614,2.45,273
20210124_torneo_pesca_Punion,2,Cazon,138-140,21.42857143,7.242857143,2.96,290
20210124_torneo_pesca_Punion,2,Cazon,79-81,98.5,38.2,2.58,310
20210124_torneo_pesca_Punion,2,Cazon,89,28.55753846,11.79769231,2.42,302
20210124_torneo_pesca_Punion,2,Cazon,201,30.61776923,13.61884615,2.25,315
20210124_torneo_pesca_Punion,2,Cazon,206,25.355,10.768,2.35,301
20210124_torneo_pesca_Punion,2,Cazon,207,23.6546,9.92045,2.38,330
20210124_torneo_pesca_Punion,2,Cazon,213,31.03,11.813,2.63,336
20210124_torneo_pesca_Punion,2,Cazon,214,19.533,8.306,2.35,273
20210124_torneo_pesca_Punion,2,Cazon,215-216,23.837,10.747,2.22,288
20210124_torneo_pesca_Punion,2,Cazon,218,26.8,11.647,2.3,318
20210124_torneo_pesca_Punion,2,Cazon,220,24.828,8.584,2.89,296
20210124_torneo_pesca_Punion,2,Cazon,221,25.869,10.1645,2.54,334
20210124_torneo_pesca_Punion,2,Cazon,222,32.254,12.964,2.49,310
20210124_torneo_pesca_Punion,2,Cazon,223,28.238,12.095,2.33,307
20210124_torneo_pesca_Punion,2,Cazon,236,23.135,9.399,2.46,308
20210124_torneo_pesca_Punion,2,Cazon,237,22.527,9.022,2.5,271
20210124_torneo_pesca_Punion,2,Cazon,244,19.047,6.748,2.82,262
20210124_torneo_pesca_Punion,2,Cazon,245,21.91,7.381,2.97,263
20210207_torneo20hs_PUnion,2,Cazon,23-24,32.314,10.704,3.02,346
20210207_torneo20hs_PUnion,2,Cazon,98-100,24.873,10.717,2.32,318
20210207_torneo20hs_PUnion,2,Cazon,101-102,29.251,11.384,2.57,289
20210207_torneo20hs_PUnion,2,Cazon,119-120,29.698,10.797,2.75,294
20200119_T_Pesca_Rawson,2,Corvina,"43,44",45.6,9.6,4.75,322
20200119_T_Pesca_Rawson,2,Corvina,"87,88",43.4,10.55,4.11,318
20190401FotosLujan,2,Escrofalo,92,86.3,22,3.92,342
20190401FotosLujan,2,Escrofalo,IMG_0502,14.4,6,2.4,88
20190401FotosLujan,2,Escrofalo,IMG_0503,17.5,7,2.5,100
20190401FotosLujan,2,Escrofalo,IMG_0504,17.5,7,2.5,95
20190401FotosLujan,2,Escrofalo,IMG_0510,18.9,7,2.7,98
20190401FotosLujan,2,Escrofalo,IMG_0513,23.2,8,2.9,128
20190401FotosLujan,2,Escrofalo,IMG_0526,18.2,7,2.6,90
20190401FotosLujan,2,Escrofalo,IMG_0560,155.23,54.8,2.832664234,143
20190401FotosLujan,2,Escrofalo,IMG_0561,25,9.3,2.69,112
20190401FotosLujan,2,Escrofalo,IMG_0571,42.9,13,3.3,258
20190401FotosLujan,2,Escrofalo,IMG_0575,44.8,14,3.2,252
20190401FotosLujan,2,Escrofalo,IMG_0580,46.5,15,3.1,247
20190401FotosLujan,2,Escrofalo,IMG_0588,52.8,16,3.3,295
20190402Fotos_LeoVenerus,2,Escrofalo,24,90.3,21,4.3,350
20190402Fotos_LeoVenerus,2,Escrofalo,50,32.4,12,2.7,156
20190503SesionPescaEMA/Peste,2,Escrofalo,55-57,47.257,15.7,3.01,277.7
20190503SesionPescaEMA/Peste,2,Escrofalo,74-76,57.7,16.7,3.46,320.3
20190508SesionPescaPtoLobos ,2,Escrofalo,161,16.5,7,2.36,90.1
20200119_T_Pesca_Rawson,2,Gatuzo,129-131,196.156,39.051,5.02,833
20200119_T_Pesca_Rawson,2,Gatuzo,"134,135",18.9,7,2.7,265
20200119_T_Pesca_Rawson,2,Gatuzo,"139,140",19.8,5.4,3.67,265
20200119_T_Pesca_Rawson,2,Gatuzo,"147,148,149",15.5,6.1,2.54,260
20200119_T_Pesca_Rawson,2,Gatuzo,"161,162",19.42,6.44,3.02,290
20200119_T_Pesca_Rawson,2,Gatuzo,video1-shark1,20.2,5.9,3.42,280
20200119_T_Pesca_Rawson,2,Gatuzo,video1-shark2,19.2,6.5,2.95,310
20200119_T_Pesca_Rawson,2,Gatuzo,video1-shark3,20.9,6,3.48,285
20200119_T_Pesca_Rawson,2,Gatuzo,"39,40,41",27.3,6.7,4.07,421
20200119_T_Pesca_Rawson,2,Gatuzo,"42,43,44",16.9,4.2,4.02,225
20200119_T_Pesca_Rawson,2,Gatuzo,"61,62",28,6.5,4.31,470
20200119_T_Pesca_Rawson,2,Gatuzo,74,16,4.6,3.48,245
20200119_T_Pesca_Rawson,2,Gatuzo,"84,85",28.1,6.35,4.43,490
20200119_T_Pesca_Rawson,2,Gatuzo,"89,90,91",16,5.3,3.02,228
20200119_T_Pesca_Rawson,2,Gatuzo,"92,93",17.04,6.7,2.54,275
20200119_T_Pesca_Rawson,2,Gatuzo,"109,110",23.4,5.69,4.11,305
20200119_T_Pesca_Rawson,2,Gatuzo,"111,112",19.3,7,2.76,265
20200119_T_Pesca_Rawson,2,Gatuzo,113,20.4,4.95,4.12,290
