Fecha,Waypoints,Especie,Nro_individuo,R_cab_ojo,Length,Record,Maturity
3-May-19,467,Escrofalo,1,4.107576192,374.8293778,408,150
3-May-19,467,Escrofalo,2,3.053765209,294.3986342,408,150
3-May-19,467,Escrofalo,3,4.114827586,374.972304,408,150
3-May-19,467,Escrofalo,4,3.55,347.0359715,408,150
3-May-19,473,Escrofalo,1,2.352941176,175.2984014,408,150
3-May-19,473,Escrofalo,2,2.7,240.829513,408,150
8-May-19,476,Escrofalo,3,3.489071038,341.9881601,408,150
8-May-19,483,Escrofalo,1,3.407894737,334.6474207,408,150
24-Jan-20,583,Escrofalo,2,3.144067797,305.9331798,408,150
7-Feb-20,610/PAL3,Escrofalo,2,2.250903397,153.5867789,408,150
7-Feb-20,610/PAL3,Escrofalo,3,2.645400593,231.3721239,408,150
7-Feb-20,610/PAL3,Escrofalo,4,2.985593085,285.1144315,408,150
7-Feb-20,610/PAL3,Escrofalo,5,2.108134589,121.3435837,408,150
7-Feb-20,610/PAL3,Escrofalo,6,2.51707204,207.8912903,408,150
7-Feb-20,610/PAL3,Escrofalo,7,2.197881828,141.8661752,408,150
7-Feb-20,610/PAL3,Escrofalo,8,3.8545975,366.3305899,408,150
7-Feb-20,610/PAL3,Escrofalo,9,2.919111729,275.5828549,408,150
7-Feb-20,612/PL2,Escrofalo,,2.822732627,260.927287,408,150
7-Feb-20,612/PL2,Escrofalo,,2.383556255,181.5959989,408,150
7-Feb-20,612/PL2,Escrofalo,,3.201197127,312.7810365,408,150
7-Feb-20,612/PL2,Escrofalo,,2.292354787,162.5408118,408,150
7-Feb-20,612/PL2,Escrofalo,,1.979846449,90.51537968,408,150
7-Feb-20,612/PL2,Escrofalo,,3.100201241,300.438694,408,150
7-Feb-20,612/PL2,Escrofalo,,3.089729431,299.0966917,408,150
7-Feb-20,612/PL2,Escrofalo,,3.580831409,349.4393282,408,150
7-Feb-20,614/PAFE,Escrofalo,,2.64,230.4193758,408,150
7-Feb-20,614/PAFE,Escrofalo,,2.94375,279.1703038,408,150
7-Feb-20,615/Colombo,Escrofalo,,2.029656523,102.693526,408,150
7-Feb-20,615/Colombo,Escrofalo,,3.157300509,307.550323,408,150
7-Feb-20,615/Colombo,Escrofalo,,2.67036264,235.7353762,408,150
7-Feb-20,616/PAL,Escrofalo,,2.85,265.1741576,408,150
7-Feb-20,622/ PAL,Escrofalo,,4.494832041,374.6105152,408,150
7-Feb-20,622/ PAL,Escrofalo,,4.203755951,376.2687416,408,150
7-Feb-20,627/Colombo,Escrofalo,,2.39,182.908752,408,150
7-Feb-20,627/Colombo,Escrofalo,,1.89,67.87918879,408,150
17-Jan-21,421,Escrofalo,1,2.197230769,141.7203919,408,150
17-Jan-21,421,Escrofalo,2,2.163746708,134.1617491,408,150
17-Jan-21,429,Escrofalo,1,1.880860319,65.52823861,408,150
19-Jan-21,669,Escrofalo,1,1.866784452,61.89014492,408,150
19-Jan-21,679,Escrofalo,1,1.751790281,31.37646374,408,150
30-Jan-21,703,Escrofalo,1,2.513011786,207.1196876,408,150
30-Jan-21,703,Escrofalo,2,2.71852418,243.96589,408,150
30-Jan-21,706,Escrofalo,1,1.955610988,84.4942642,408,150
30-Jan-21,710,Escrofalo,1,1.883442,66.19321365,408,150
30-Jan-21,710,Escrofalo,2,2.055,108.7881704,408,150
30-Jan-21,710,Escrofalo,3,1.818,49.11753842,408,150
4-Feb-21,723,Escrofalo,1,2.255958493,154.6885613,408,150
4-Feb-21,723,Escrofalo,2,2.879560961,269.6886208,408,150
4-Feb-21,723,Escrofalo,3,3.71468937,358.6975447,408,150
18-Feb-21,753,Escrofalo,1,3.576561451,349.1125296,408,150
18-Feb-21,761,Escrofalo,1,3.516674547,344.3241231,408,150
18-Feb-21,761,Escrofalo,2,2.95973913,281.4637373,408,150
18-Feb-21,761,Escrofalo,3,3.188468158,311.2854226,408,150
18-Feb-21,761,Escrofalo,4,2.340547901,172.7206348,408,150
26-Feb-21,782,Escrofalo,1,1.987227224,92.33662632,408,150
13-Mar-21,809,Escrofalo,1,3.238388018,317.0517915,408,150
13-Mar-21,809,Escrofalo,2,2.989505637,285.6606875,408,150
13-Mar-21,812,Escrofalo,1,1.824466916,50.8252894,408,150
27-Mar-21,823,Escrofalo,1,2.441606197,193.2623949,408,150
27-Mar-21,823,Escrofalo,2,2.49298435,203.2879738,408,150
27-Mar-21,823,Escrofalo,3,2.450861111,195.0891355,408,150
27-Mar-21,825,Escrofalo,1,2.649104594,232.0237676,408,150
27-Mar-21,825,Escrofalo,2,2.47205874,199.2386946,408,150
27-Mar-21,825,Escrofalo,3,2.380650937,181.0026631,408,150
27-Mar-21,826,Escrofalo,1,2.390192308,182.9478619,408,150
27-Mar-21,826,Escrofalo,2,2.592101072,221.833048,408,150
27-Mar-21,827,Escrofalo,1,3.078064386,297.587994,408,150
27-Mar-21,827,Escrofalo,2,2.817309064,260.0731115,408,150
27-Mar-21,827,Escrofalo,3,3.397326234,333.6399816,408,150
27-Mar-21,827,Escrofalo,4,2.788561139,255.4930884,408,150
27-Mar-21,830,Escrofalo,1,2.464078923,197.6822267,408,150
27-Mar-21,830,Escrofalo,2,2.331429629,170.8135942,408,150
27-Mar-21,830,Escrofalo,3,2.625980697,227.9316276,408,150
27-Mar-21,830,Escrofalo,4,1.94605831,82.10375285,408,150
27-Mar-21,831,Escrofalo,1,3.168975351,308.9615667,408,150
27-Mar-21,831,Escrofalo,2,2.226675487,148.2683358,408,150
27-Mar-21,833,Escrofalo,1,3.005049946,287.8147889,408,150
27-Mar-21,833,Escrofalo,2,3.067518846,296.2115903,408,150
27-Mar-21,833,Escrofalo,3,3.109455661,301.6149427,408,150
27-Mar-21,833,Escrofalo,4,2.83902095,263.4737213,408,150
27-Mar-21,834,Escrofalo,1,3.070885595,296.6523078,408,150
27-Mar-21,835,Escrofalo,1,2.284498025,160.8577332,408,150
29-Mar-21,840,Escrofalo,1,3.1625387,308.1853094,408,150
29-Mar-21,840,Escrofalo,2,2.546217775,213.37845,408,150
29-Mar-21,840,Escrofalo,3,2.587412587,220.9794385,408,150
29-Mar-21,840,Escrofalo,4,2.677492069,236.9693605,408,150
4-Apr-21,877,Escrofalo,1,2.396251722,184.1781504,408,150
4-Apr-21,877,Escrofalo,2,2.854392157,265.8508131,408,150
4-Apr-21,877,Escrofalo,3,2.844631393,264.3442744,408,150
4-Apr-21,877,Escrofalo,4,2.473817826,199.5808912,408,150
4-Apr-21,877,Escrofalo,5,2.329161735,170.3378977,408,150
4-Apr-21,877,Escrofalo,6,2.478454687,200.4813218,408,150
4-Apr-21,877,Escrofalo,7,2.849511775,265.0988146,408,150
4-Apr-21,877,Escrofalo,8,2.872137446,268.5636918,408,150
4-Apr-21,884,Escrofalo,1,2.55,214.0838706,408,150
4-Apr-21,886,Escrofalo,1,3.473254998,340.6130779,408,150
4-Apr-21,889,Escrofalo,1,2.434986234,191.9501351,408,150
4-Apr-21,889,Escrofalo,2,2.844118703,264.2648614,408,150
4-Apr-21,889,Escrofalo,3,3.450983745,338.6315059,408,150
4-Apr-21,889,Escrofalo,4,2.490465368,202.8030038,408,150
4-Apr-21,889,Escrofalo,5,2.987030826,285.3153533,408,150
4-Apr-21,889,Escrofalo,6,2.280781292,160.0592382,408,150
4-Apr-21,889,Escrofalo,7,2.27103937,157.9593083,408,150
4-Apr-21,889,Escrofalo,8,2.817006982,260.0254433,408,150
17-Apr-21,917,Escrofalo,1,2.769567176,252.4186508,408,150
17-Apr-21,919,Escrofalo,1,2.894275087,271.9009595,408,150
17-Apr-21,919,Escrofalo,2,2.214892435,145.6591133,408,150
17-Apr-21,922,Escrofalo,1,2.483208532,201.4020875,408,150
17-Apr-21,924,Escrofalo,1,2.951822694,280.3316369,408,150
17-Apr-21,931,Escrofalo,1,2.194221509,141.0459789,408,150
17-Apr-21,933,Escrofalo,1,1.867737165,62.13705308,408,150
18-Mar-22,1488,Escrofalo,1,3.586701597,349.8854233,408,150
19-Apr-22,1504,Escrofalo,1,3.067412334,296.1976277,408,150
19-Apr-22,1502/Colombo,Escrofalo,1,2.731751825,246.1830873,408,150
8-Feb-23,PSU,Escrofalo,1,2.987622923,285.3980338,408,150
8-Feb-23,PASAL,Escrofalo,1,2.005982906,96.93853815,408,150
8-Feb-23,1856,Escrofalo,1,2.448677064,194.6588709,408,150
8-Feb-23,1859,Escrofalo,1,2.459499106,196.7858617,408,150
8-Feb-23,1860,Escrofalo,1,2.486981493,202.1311508,408,150
8-Feb-23,1860,Escrofalo,2,3.070140985,296.5549403,408,150
8-Feb-23,1860,Escrofalo,3,2.93925382,278.5204707,408,150
21-Feb-23,1865,Escrofalo,1,2.362409389,177.2567193,408,150
21-Feb-23,1865,Escrofalo,2,2.579062077,219.4532924,408,150
21-Feb-23,1872,Escrofalo,1,2.806075165,258.2938622,408,150
21-Feb-23,1872,Escrofalo,2,3.244635566,317.7547387,408,150
15-Apr-19,464,Magru,,2.743679163,347.1288586,490,215
15-Apr-19,464,Magru,,2.638297872,329.7179467,490,215
15-Apr-19,464,Magru,,1.922529644,305.6209094,490,215
15-Apr-19,464,Magru,,2.629757785,328.4628317,490,215
15-Apr-19,464,Magru,,2.493658537,311.6143541,490,215
15-Apr-19,464,Magru,,2.147619048,295.504665,490,215
15-Apr-19,464,Magru,,2.342857143,299.8770891,490,215
15-Apr-19,464,Magru,,2.76,350.1435708,490,215
15-Apr-19,464,Magru,,2.582075472,321.8845627,490,215
15-Apr-19,464,Magru,,3.483182844,569.4037356,490,215
15-Apr-19,464,Magru,,3.070785071,423.836784,490,215
15-Apr-19,464,Magru,,2.192932187,295.4311043,490,215
15-Apr-19,464,Magru,,1.911963883,306.4946595,490,215
15-Apr-19,464,Magru,,3,404.330631,490,215
15-Apr-19,464,Magru,,3.08560794,428.1247964,490,215
15-Apr-19,464,Magru,,3.031620553,412.8458686,490,215
15-Apr-19,464,Magru,,2.775185578,353.0252319,490,215
15-Apr-19,464,Magru,,2.594439902,323.5204047,490,215
15-Apr-19,a1,Magru,,3.036484245,414.1840616,490,215
15-Apr-19,a1,Magru,,2.681632653,336.4468884,490,215
15-Apr-19,a1,Magru,,2.844814534,367.1843313,490,215
15-Apr-19,a1,Magru,,2.364460737,301.111399,490,215
15-Apr-19,a1,Magru,,2.461264016,308.4785005,490,215
15-Apr-19,a1,Magru,,2.163702929,295.4032391,490,215
15-Apr-19,a1,Magru,,2.588078292,322.6726315,490,215
15-Apr-19,a1,Magru,,2.561481481,319.2686696,490,215
15-Apr-19,a1,Magru,,2.089831566,296.5529659,490,215
15-Apr-19,a1,Magru,,2.549939832,317.8620443,490,215
15-Apr-19,a1,Magru,,2.949864499,391.486083,490,215
15-Apr-19,a1,Magru,,2.1025,296.2315814,490,215
15-Apr-19,a1,Magru,,3.22125,470.6334987,490,215
15-Apr-19,a1,Magru,,2.666764706,334.0704164,490,215
15-Apr-19,a1,Magru,,2.335099338,299.4703426,490,215
15-Apr-19,a1,Magru,,2.996758509,403.4758196,490,215
15-Apr-19,a1,Magru,,2.42556391,305.4121156,490,215
15-Apr-19,a1,Magru,,2.752670501,348.7791406,490,215
15-Apr-19,a2,Magru,,3.921305182,783.7483591,490,215
15-Apr-19,a2,Magru,,4.765100671,1369.852331,490,215
3-May-19,470,Magru,,4.088924818,882.0199865,490,215
3-May-19,470,Magru,,4.830053667,1424.425212,490,215
3-May-19,472,Magru,,2.357142857,300.6765478,490,215
3-May-19,472,Magru,,2.117710583,295.9136412,490,215
3-May-19,472,Magru,,1.780612245,320.3433575,490,215
3-May-19,472,Magru,,2.188766114,295.4104048,490,215
3-May-19,472,Magru,,2.477320899,309.9908116,490,215
3-May-19,473,Magru,,,,490,215
19-Jan-21,676,Magru,1,2.525365164,315.009224,490,215
19-Jan-21,683,Magru,1,2.128663993,295.7305993,490,215
19-Jan-21,683,Magru,2,2.269955157,296.8156285,490,215
19-Jan-21,683,Magru,3,2.438392641,306.4670064,490,215
19-Jan-21,684,Magru,1,3.059544,420.6318649,490,215
4-Feb-21,725,Magru,1,2.452586207,307.6955713,490,215
4-Feb-21,727,Magru,1,3.047058824,417.1196983,490,215
23-Feb-21,774,Magru,1,2.624323593,327.6763481,490,215
23-Feb-21,774,Magru,2,2.935035169,387.8411972,490,215
23-Feb-21,774,Magru,3,2.895914807,378.5639614,490,215
23-Feb-21,774,Magru,4,2.713333,341.7503275,490,215
23-Feb-21,776,Magru,1,2.94472484,390.2148332,490,215
23-Feb-21,776,Magru,2,2.802260244,358.346306,490,215
23-Feb-21,776,Magru,3,2.720920287,343.0674287,490,215
23-Feb-21,776,Magru,4,2.790675547,356.0407788,490,215
23-Feb-21,776,Magru,5,2.457641306,308.1487185,490,215
23-Feb-21,776,Magru,6,2.686308204,337.208861,490,215
23-Feb-21,776,Magru,7,2.484973559,310.7406421,490,215
23-Feb-21,776,Magru,8,2.901622368,379.8869345,490,215
23-Feb-21,776,Magru,9,2.560220264,319.1128831,490,215
23-Feb-21,776,Magru,10,2.979618306,399.0117556,490,215
23-Feb-21,776,Magru,11,2.380984191,302.1563853,490,215
23-Feb-21,780,Magru,1,2.332283465,299.3274745,490,215
23-Feb-21,780,Magru,2,2.303522205,298.0137219,490,215
27-Mar-21,830,Magru,1,2.664599315,333.7302123,490,215
27-Mar-21,830,Magru,2,2.551928136,318.1013235,490,215
27-Mar-21,830,Magru,3,2.312777931,298.4075805,490,215
27-Mar-21,830,Magru,4,2.37211273,301.5844556,490,215
27-Mar-21,830,Magru,5,2.689817405,337.7853554,490,215
27-Mar-21,830,Magru,6,2.872267644,373.1939205,490,215
27-Mar-21,831,Magru,1,2.799359396,357.7649583,490,215
27-Mar-21,835,Magru,1,2.510741699,313.4034489,490,215
27-Mar-21,835,Magru,2,2.312507708,298.3956928,490,215
27-Mar-21,835,Magru,3,2.911351546,382.1661511,490,215
27-Mar-21,835,Magru,4,2.817080638,361.3584789,490,215
29-Mar-21,842,Magru,1,2.17029435,295.3856178,490,215
29-Mar-21,842,Magru,2,2.402957017,303.6815172,490,215
29-Mar-21,842,Magru,3,2.223036409,295.7459599,490,215
29-Mar-21,842,Magru,4,2.380658228,302.1349248,490,215
29-Mar-21,848,Magru,1,2.824988495,362.9945061,490,215
29-Mar-21,848,Magru,2,2.546367816,317.4353578,490,215
29-Mar-21,848,Magru,3,2.655363985,332.2961194,490,215
29-Mar-21,848,Magru,4,2.730513665,344.7591786,490,215
3-Apr-21,857,Magru,1,2.353245186,300.4519393,490,215
3-Apr-21,857,Magru,2,2.176943498,295.3819465,490,215
3-Apr-21,857,Magru,3,2.292143439,297.567137,490,215
3-Apr-21,860,Magru,1,2.93091145,386.8401538,490,215
3-Apr-21,860,Magru,2,2.862159529,370.953128,490,215
3-Apr-21,861,Magru,1,2.985765125,400.6018321,490,215
3-Apr-21,872,Magru,1,2.258803826,296.4974984,490,215
4-Apr-21,880,Magru,1,2.968372234,396.1339257,490,215
4-Apr-21,881,Magru,1,2.815668807,361.0684983,490,215
4-Apr-21,885,Magru,1,3.019191883,409.4606839,490,215
4-Apr-21,885,Magru,2,2.665715,333.9053097,490,215
4-Apr-21,894,Magru,1,2.606254584,325.1292793,490,215
4-Apr-21,897,Magru,1,2.953482648,392.3860772,490,215
17-Apr-21,928,Magru,1,2.602899543,324.6678567,490,215
17-Apr-21,930,Magru,1,2.468398192,309.1402319,490,215
17-Apr-21,930,Magru,2,2.468398192,309.1402319,490,215
17-Apr-21,931,Magru,1,2.328215454,299.1255636,490,215
17-Apr-21,933,Magru,1,3.135914595,443.2025884,490,215
17-Apr-21,933,Magru,2,2.703585657,340.0853248,490,215
17-Apr-21,933,Magru,3,2.566057172,319.8381416,490,215
17-Apr-21,934,Magru,1,4.185122365,942.4842208,490,215
17-Apr-21,934,Magru,2,3.519665363,584.9047904,490,215
17-Apr-21,935,Magru,1,2.316904355,298.5920187,490,215
17-Apr-21,935,Magru,2,2.316904355,298.5920187,490,215
17-Apr-21,935,Magru,3,2.316904355,298.5920187,490,215
12-May-21,976,Magru,1,1.715478842,329.2607803,490,215
21-Feb-23,1866,Magru,1,2.435613375,306.2339963,490,215
21-Feb-23,1870,Magru,1,2.226233454,295.7964537,490,215
21-Feb-23,1870,Magru,2,2.673214045,335.0925716,490,215
21-Feb-23,1871,Magru,1,2.737420367,345.9954022,490,215
30-Jan-21,719,Merluza,1,2.741929699,Ups,950,319
3-May-19,467,Mero,,4.04518664,612.8387429,520,290
3-May-19,467,Mero,,3.820754717,512.3813845,520,290
3-May-19,467,Mero,,3.938461538,563.5401898,520,290
3-May-19,467,Mero,,4.48643006,847.9538425,520,290
3-May-19,467,Mero,,2.671047957,166.7108968,520,290
8-May-19,483,Mero,,3.872131148,534.3035711,520,290
8-May-19,483,Mero,,3.68125,455.9594495,520,290
8-May-19,483,Mero,,3.446254072,370.7410446,520,290
8-May-19,483,Mero,,4.155555556,666.8282328,520,290
8-May-19,483,Mero,,3.571038251,414.4970102,520,290
24-Jan-20,583,Mero,,3.75,483.2048518,520,290
24-Jan-20,583,Mero,,5.481012658,1589.00439,520,290
24-Jan-20,583,Mero,,4.126984127,652.553305,520,290
7-Feb-20,610/PAL3,Mero,,4.172393625,675.339734,520,290
